"File","WER","Time","Hyp","Ref"
"LJ001-0076","8.7","1","And things got worse and worse through the whole of the 17th century. so that in the 18th, printing was very miserably performed.","WER: 8.7%"
"LJ001-0077","0","1.1","In England, about this time, an attempt was made, notably by Caslon, who started business in London as a type founder in 1720.","WER: 0.0%"
"LJ001-0078","0","0.2","To improve the letter in form.","WER: 0.0%"
"LJ001-0079","0","0.5","Caslon's type is clear and neat and fairly well designed.","WER: 0.0%"
"LJ001-0080","11.8","0.6","He seems to have taken the letter of the Elzeavis of the 17th century, for his model.","WER: 11.8%"
"LJ001-0081","0","0.5","Type cast from his matrices is still in everyday use.","WER: 0.0%"
"LJ001-0082","0","0.8","In spite, however, of his praiseworthy efforts, printing had still one last degradation to undergo.","WER: 0.0%"
"LJ001-0083","20","0.6","The 17th century founs were bad rather negatively than positively.","WER: 20.0%"
"LJ001-0084","0","0.5","But for the beauty of the earlier work, they might have seemed tolerable.","WER: 0.0%"
"LJ001-0085","4.2","0.9","It was reserved for the founders of the later 18th century to produce letters which are positively ugly and which it may be added.","WER: 4.2%"
"LJ001-0086","5.6","0.8","Are dazzling and unpleasant to the eye, owing to the clumsy thickening and vulgar thinning of the lime.","WER: 5.6%"
"LJ001-0087","20","0.9","For the 17th century letters are at least pure and simple in lime. The Italian Bodoi and the Frenchman Diddo.","WER: 20.0%"
"LJ001-0088","4","1","We the leaders in this luckless change, though our own Baskerville, who was at work some years before them, went much on the same lines.","WER: 4.0%"
"LJ001-0089","0","1","But his letters, though, uninteresting and poor, are not nearly so gross and vulgar as those of either the Italian or the Frenchman.","WER: 0.0%"
"LJ001-0090","0","0.4","With this change, the art of printing touched bottom.","WER: 0.0%"
"LJ001-0091","0","0.7","So far as fine, printing is concerned, though paper did not get to its worst till about 1840.","WER: 0.0%"
"LJ001-0092","22.2","0.9","The Chiswick press in 1844 revived Caslan's Founs, printing for Mess Longm, the diary of Lady Willoughby.","WER: 22.2%"
"LJ001-0093","6.7","0.8","This experiment was so far successful that about 1850, Mears Miller and Richard of Edinburgh.","WER: 6.7%"
"LJ001-0094","0","0.5","Were induced to cut punches for a series of old style letters.","WER: 0.0%"
"LJ001-0095","9.1","0.5","These and similar founs cast by the above firm and others.","WER: 9.1%"
"LJ001-0096","3.6","1.2","Have now come into general use and are obviously a great improvement on the ordinary modern style in use in England, which is, in fact, the Booni type.","WER: 3.6%"
"LJ001-0097","4.5","1","A little reduced in ugliness. The design of the letters of this modern old style leads a good deal to be desired.","WER: 4.5%"
"LJ001-0098","0","0.5","And the whole effect is a little too gray, owing to the thinness of the letters.","WER: 0.0%"
"LJ001-0099","0","0.9","It must be remembered, however, that most modern printing is done by machinery on soft paper and not by the hand press.","WER: 0.0%"
"LJ001-0100","0","1","And these somewhat wiry letters are suitable for the machine process, which would not do justice to letters of more generous design.","WER: 0.0%"
